"","sigma","quant","pval"
"1",0,0.501,1
"2",0.1,0.501,1
"3",0.5,0.501,1
"4",1,0.501,1
"5",1.01,0.501,1
"6",1.02,0.501,1
"7",1.03,0.501,1
"8",1.04,0.501,1
"9",1.05,0.501,1
"10",1.06,0.501,1
"11",1.07,0.501,1
"12",1.08,0.501,1
"13",1.09,0.501,1
"14",1.1,0.501,1
"15",1.11,0.501,1
"16",1.12,0.501,1
"17",1.13,0.501,1
"18",1.14,0.501,1
"19",1.15,0.501,1
"20",1.16,0.501,1
"21",1.17,0.501,1
"22",1.18,0.501,1
"23",1.19,0.501,1
"24",1.2,0.501,1
"25",1.21,0.501,1
"26",1.22,0.501,1
"27",1.23,0.501,1
"28",1.24,0.501,1
"29",1.25,0.501,1
"30",1.26,0.501,1
"31",1.27,0.501,1
"32",1.28,0.501,1
"33",1.29,0.501,1
"34",1.3,0.501,1
"35",1.31,0.501,1
"36",1.32,0.501,1
"37",1.33,0.501,1
"38",1.34,0.501,1
"39",1.35,0.501,1
"40",1.36,0.501,1
"41",1.37,0.501,1
"42",1.38,0.501,1
"43",1.39,0.501,1
"44",1.4,0.501,1
"45",1.41,0.501,1
"46",1.42,0.501,1
"47",1.43,0.501,1
"48",1.44,0.501,1
"49",1.45,0.501,1
"50",1.46,0.501,1
"51",1.47,0.501,1
"52",1.48,0.501,1
"53",1.49,0.501,1
"54",1.5,0.501,1
"55",2,0.501,1
"56",5,0.501,1
"57",0,0.75,0.999999999999914
"58",0.1,0.75,1
"59",0.5,0.75,1
"60",1,0.75,1
"61",1.01,0.75,1
"62",1.02,0.75,1
"63",1.03,0.75,1
"64",1.04,0.75,1
"65",1.05,0.75,1
"66",1.06,0.75,1
"67",1.07,0.75,1
"68",1.08,0.75,1
"69",1.09,0.75,1
"70",1.1,0.75,1
"71",1.11,0.75,1
"72",1.12,0.75,1
"73",1.13,0.75,1
"74",1.14,0.75,1
"75",1.15,0.75,1
"76",1.16,0.75,1
"77",1.17,0.75,1
"78",1.18,0.75,1
"79",1.19,0.75,1
"80",1.2,0.75,1
"81",1.21,0.75,1
"82",1.22,0.75,1
"83",1.23,0.75,1
"84",1.24,0.75,1
"85",1.25,0.75,1
"86",1.26,0.75,1
"87",1.27,0.75,1
"88",1.28,0.75,1
"89",1.29,0.75,1
"90",1.3,0.75,1
"91",1.31,0.75,1
"92",1.32,0.75,1
"93",1.33,0.75,1
"94",1.34,0.75,1
"95",1.35,0.75,1
"96",1.36,0.75,1
"97",1.37,0.75,1
"98",1.38,0.75,1
"99",1.39,0.75,1
"100",1.4,0.75,1
"101",1.41,0.75,1
"102",1.42,0.75,1
"103",1.43,0.75,1
"104",1.44,0.75,1
"105",1.45,0.75,1
"106",1.46,0.75,1
"107",1.47,0.75,1
"108",1.48,0.75,1
"109",1.49,0.75,1
"110",1.5,0.75,1
"111",2,0.75,0.999999999981166
"112",5,0.75,0.389277928250632
"113",0,0.9,0.99999999999962
"114",0.1,0.9,1
"115",0.5,0.9,1
"116",1,0.9,1
"117",1.01,0.9,1
"118",1.02,0.9,1
"119",1.03,0.9,1
"120",1.04,0.9,1
"121",1.05,0.9,1
"122",1.06,0.9,1
"123",1.07,0.9,0.999999999999999
"124",1.08,0.9,0.999999999999999
"125",1.09,0.9,0.999999999999998
"126",1.1,0.9,0.999999999999998
"127",1.11,0.9,0.999999999999997
"128",1.12,0.9,0.999999999999995
"129",1.13,0.9,0.999999999999993
"130",1.14,0.9,0.99999999999999
"131",1.15,0.9,0.999999999999986
"132",1.16,0.9,0.99999999999998
"133",1.17,0.9,0.999999999999972
"134",1.18,0.9,0.99999999999996
"135",1.19,0.9,0.999999999999943
"136",1.2,0.9,0.99999999999992
"137",1.21,0.9,0.999999999999888
"138",1.22,0.9,0.999999999999842
"139",1.23,0.9,0.999999999999779
"140",1.24,0.9,0.999999999999692
"141",1.25,0.9,0.999999999999571
"142",1.26,0.9,0.999999999999404
"143",1.27,0.9,0.999999999999174
"144",1.28,0.9,0.999999999998858
"145",1.29,0.9,0.999999999998426
"146",1.3,0.9,0.999999999997836
"147",1.31,0.9,0.999999999997032
"148",1.32,0.9,0.999999999995939
"149",1.33,0.9,0.999999999994457
"150",1.34,0.9,0.999999999992454
"151",1.35,0.9,0.99999999998975
"152",1.36,0.9,0.999999999986112
"153",1.37,0.9,0.999999999981227
"154",1.38,0.9,0.999999999974684
"155",1.39,0.9,0.999999999965943
"156",1.4,0.9,0.999999999954293
"157",1.41,0.9,0.999999999938801
"158",1.42,0.9,0.999999999918252
"159",1.43,0.9,0.999999999890247
"160",1.44,0.9,0.99999999984746
"161",1.45,0.9,0.999999999788527
"162",1.46,0.9,0.999999999707579
"163",1.47,0.9,0.999999999596697
"164",1.48,0.9,0.999999999445237
"165",1.49,0.9,0.999999999238933
"166",1.5,0.9,0.99999999895873
"167",2,0.9,0.999833234611535
"168",5,0.9,0.000852153577853509
"169",0,0.95,0.99999999998771
"170",0.1,0.95,1
"171",0.5,0.95,1
"172",1,0.95,0.999999999999996
"173",1.01,0.95,0.999999999999993
"174",1.02,0.95,0.99999999999999
"175",1.03,0.95,0.999999999999986
"176",1.04,0.95,0.999999999999979
"177",1.05,0.95,0.99999999999997
"178",1.06,0.95,0.999999999999956
"179",1.07,0.95,0.999999999999936
"180",1.08,0.95,0.999999999999907
"181",1.09,0.95,0.999999999999865
"182",1.1,0.95,0.999999999999805
"183",1.11,0.95,0.99999999999972
"184",1.12,0.95,0.999999999999598
"185",1.13,0.95,0.999999999999425
"186",1.14,0.95,0.999999999999179
"187",1.15,0.95,0.99999999999883
"188",1.16,0.95,0.999999999998338
"189",1.17,0.95,0.999999999997646
"190",1.18,0.95,0.999999999996673
"191",1.19,0.95,0.99999999999531
"192",1.2,0.95,0.999999999993405
"193",1.21,0.95,0.999999999990752
"194",1.22,0.95,0.999999999987064
"195",1.23,0.95,0.999999999981953
"196",1.24,0.95,0.999999999974887
"197",1.25,0.95,0.999999999965146
"198",1.26,0.95,0.999999999951753
"199",1.27,0.95,0.999999999933388
"200",1.28,0.95,0.999999999908273
"201",1.29,0.95,0.99999999987402
"202",1.3,0.95,0.999999999827431
"203",1.31,0.95,0.999999999764236
"204",1.32,0.95,0.999999999678749
"205",1.33,0.95,0.999999999563424
"206",1.34,0.95,0.999999999408271
"207",1.35,0.95,0.999999999200111
"208",1.36,0.95,0.999999998921603
"209",1.37,0.95,0.999999998550002
"210",1.38,0.95,0.999999998055566
"211",1.39,0.95,0.999999997399514
"212",1.4,0.95,0.999999996531439
"213",1.41,0.95,0.999999995386018
"214",1.42,0.95,0.999999993878858
"215",1.43,0.95,0.999999991901256
"216",1.44,0.95,0.999999989003661
"217",1.45,0.95,0.999999984812235
"218",1.46,0.95,0.999999979096728
"219",1.47,0.95,0.999999971331962
"220",1.48,0.95,0.999999960822683
"221",1.49,0.95,0.999999946652364
"222",1.5,0.95,0.999999927617889
"223",2,0.95,0.996574868032536
"224",5,0.95,5.7609235921019e-05
"225",0,0.99,0.999999999836637
"226",0.1,0.99,1
"227",0.5,0.99,1
"228",1,0.99,0.999999999999903
"229",1.01,0.99,0.999999999999857
"230",1.02,0.99,0.99999999999979
"231",1.03,0.99,0.999999999999691
"232",1.04,0.99,0.999999999999546
"233",1.05,0.99,0.999999999999337
"234",1.06,0.99,0.999999999999032
"235",1.07,0.99,0.999999999998592
"236",1.08,0.99,0.999999999997956
"237",1.09,0.99,0.999999999997041
"238",1.1,0.99,0.999999999995727
"239",1.11,0.99,0.999999999993847
"240",1.12,0.99,0.999999999991163
"241",1.13,0.99,0.999999999987341
"242",1.14,0.99,0.999999999981916
"243",1.15,0.99,0.999999999974235
"244",1.16,0.99,0.999999999963394
"245",1.17,0.99,0.999999999948134
"246",1.18,0.99,0.999999999926717
"247",1.19,0.99,0.999999999896746
"248",1.2,0.99,0.999999999854927
"249",1.21,0.99,0.999999999796748
"250",1.22,0.99,0.999999999716052
"251",1.23,0.99,0.999999999604457
"252",1.24,0.99,0.999999999450598
"253",1.25,0.99,0.999999999239111
"254",1.26,0.99,0.999999998949299
"255",1.27,0.99,0.999999998553373
"256",1.28,0.99,0.999999998014148
"257",1.29,0.99,0.999999997282039
"258",1.3,0.99,0.99999999629115
"259",1.31,0.99,0.999999994954212
"260",1.32,0.99,0.999999993156048
"261",1.33,0.99,0.999999990745186
"262",1.34,0.99,0.999999987523108
"263",1.35,0.99,0.99999998323056
"264",1.36,0.99,0.999999977530159
"265",1.37,0.99,0.999999969984402
"266",1.38,0.99,0.999999960027968
"267",1.39,0.99,0.999999946932969
"268",1.4,0.99,0.999999929765553
"269",1.41,0.99,0.999999907331896
"270",1.42,0.99,0.999999878111297
"271",1.43,0.99,0.999999834008211
"272",1.44,0.99,0.999999772359548
"273",1.45,0.99,0.999999689123894
"274",1.46,0.99,0.999999577239891
"275",1.47,0.99,0.999999427514686
"276",1.48,0.99,0.999999228040425
"277",1.49,0.99,0.999998963469751
"278",1.5,0.99,0.999998614121599
"279",2,0.99,0.980165919222064
"280",5,0.99,5.42760949739929e-06
